id,season_id,episode_number,title,description,duration
74,11,2,Episode 2: Crossroads 1,A confrontation with the past changes everything. 8,93
75,11,3,Episode 3: A New Beginning 1,A confrontation with the past changes everything. 9,75
76,11,4,Episode 4: Legacy 1,A confrontation with the past changes everything. 10,31
77,11,5,Episode 5: Endgame,An unexpected discovery leads to a startling revelation. 4,96
78,11,6,Episode 6: Reckoning,The quest for truth takes a dangerous turn. 4,85
79,11,7,Episode 7: A New Beginning 2,The final battle brings a shocking conclusion. 5,85
80,12,1,Episode 1: Crossroads 3,An unexpected discovery leads to a startling revelation. 5,74
81,12,2,Episode 2: Endgame 2,Tensions rise as secrets begin to unravel. 8,114
82,12,3,Episode 3: Reckoning 2,Mysteries deepen as the search for answers continues. 4,107
83,12,4,Episode 4: Legacy 2,An unexpected discovery leads to a startling revelation. 6,90
84,12,5,Episode 5: A New Beginning 1,Mysteries deepen as the search for answers continues. 5,77
85,12,6,Episode 6: Reckoning 1,Tensions rise as secrets begin to unravel. 9,101
86,12,7,Episode 7: Crossroads 1,The final battle brings a shocking conclusion. 6,108
87,12,8,Episode 8: Legacy,Mysteries deepen as the search for answers continues. 6,62
88,12,9,Episode 9: Reckoning 1,An unexpected discovery leads to a startling revelation. 7,109
89,13,1,Episode 1: A New Beginning 1,An unexpected discovery leads to a startling revelation. 8,33
90,13,2,Episode 2: Reckoning 1,A sacrifice is made for the greater good. 5,56
91,13,3,Episode 3: The Hidden Truth,"A hidden enemy emerges, threatening all they hold dear. 6",60
92,13,4,Episode 4: A New Beginning 1,New alliances are formed as old ones are tested. 5,41
93,13,5,Episode 5: Reckoning 1,Betrayal and intrigue threaten to undo everything. 6,32
94,13,6,Episode 6: A New Beginning 3,New alliances are formed as old ones are tested. 6,85
95,13,7,Episode 7: Reckoning,A journey into the unknown reveals new challenges. 10,77
96,13,8,Episode 8: Reckoning 1,Betrayal and intrigue threaten to undo everything. 7,116
97,13,9,Episode 9: The Hidden Truth,"A hidden enemy emerges, threatening all they hold dear. 7",36
98,13,10,Episode 10: Legacy,The quest for truth takes a dangerous turn. 5,41
99,14,1,Episode 1: Legacy,Tensions rise as secrets begin to unravel. 10,108
100,14,2,Episode 2: A New Beginning 2,A race against time to prevent disaster. 8,80
101,14,3,Episode 3: Crossroads 1,The quest for truth takes a dangerous turn. 6,74
102,14,4,Episode 4: Crossroads 2,A sacrifice is made for the greater good. 6,101
103,14,5,Episode 5: The Hidden Truth 2,Tensions rise as secrets begin to unravel. 11,110
104,14,6,Episode 6: Reckoning 2,The quest for truth takes a dangerous turn. 7,103
105,14,7,Episode 7: Legacy 2,A sacrifice is made for the greater good. 7,96
106,15,1,Episode 1: A New Beginning 2,The final battle brings a shocking conclusion. 7,72
107,15,2,Episode 2: A New Beginning 3,An unexpected discovery leads to a startling revelation. 9,62
108,15,3,Episode 3: Reckoning 3,An unexpected discovery leads to a startling revelation. 10,48
109,15,4,Episode 4: Reckoning 2,A journey into the unknown reveals new challenges. 11,111
110,15,5,Episode 5: A New Beginning 2,An unexpected discovery leads to a startling revelation. 11,87
111,15,6,Episode 6: Endgame 1,A race against time to prevent disaster. 9,55
112,15,7,Episode 7: A New Beginning 3,An unexpected discovery leads to a startling revelation. 12,51
113,15,8,Episode 8: A New Beginning,A journey into the unknown reveals new challenges. 12,109
114,15,9,Episode 9: Crossroads 1,The quest for truth takes a dangerous turn. 8,65
115,15,10,Episode 10: Crossroads,Betrayal and intrigue threaten to undo everything. 8,81
116,16,1,Episode 1: Endgame 1,A confrontation with the past changes everything. 11,81
117,16,2,Episode 2: Crossroads 2,A race against time to prevent disaster. 10,44
118,16,3,Episode 3: Reckoning 4,New alliances are formed as old ones are tested. 7,68
119,16,4,Episode 4: The Hidden Truth 2,Betrayal and intrigue threaten to undo everything. 9,100
120,16,5,Episode 5: A New Beginning 3,A journey into the unknown reveals new challenges. 13,37
121,16,6,Episode 6: Reckoning 3,"A hidden enemy emerges, threatening all they hold dear. 8",33
122,16,7,Episode 7: Legacy 3,New alliances are formed as old ones are tested. 8,90
123,16,8,Episode 8: The Hidden Truth,Tensions rise as secrets begin to unravel. 12,60
124,17,1,Episode 1: A New Beginning 3,The quest for truth takes a dangerous turn. 9,76
125,17,2,Episode 2: Crossroads 3,A confrontation with the past changes everything. 12,67
126,17,3,Episode 3: The Hidden Truth 1,An unexpected discovery leads to a startling revelation. 13,119
127,17,4,Episode 4: Legacy 3,"A hidden enemy emerges, threatening all they hold dear. 9",72
128,17,5,Episode 5: Legacy 3,New alliances are formed as old ones are tested. 9,111
129,17,6,Episode 6: A New Beginning 4,A sacrifice is made for the greater good. 8,98
130,17,7,Episode 7: Endgame 1,Mysteries deepen as the search for answers continues. 7,95
131,18,1,Episode 1: Reckoning 2,New alliances are formed as old ones are tested. 10,101
132,18,2,Episode 2: A New Beginning 4,Mysteries deepen as the search for answers continues. 8,38
133,18,3,Episode 3: Crossroads 2,"A hidden enemy emerges, threatening all they hold dear. 10",76
134,18,4,Episode 4: Crossroads 3,A sacrifice is made for the greater good. 9,97
135,18,5,Episode 5: Endgame 1,A sacrifice is made for the greater good. 10,119
136,18,6,Episode 6: Reckoning 4,The quest for truth takes a dangerous turn. 10,90
137,18,7,Episode 7: Reckoning 1,The quest for truth takes a dangerous turn. 11,72
138,18,8,Episode 8: Legacy 1,Tensions rise as secrets begin to unravel. 13,35
139,19,1,Episode 1: Crossroads 4,Betrayal and intrigue threaten to undo everything. 10,97
140,19,2,Episode 2: A New Beginning 5,New alliances are formed as old ones are tested. 11,37
141,19,3,Episode 3: Reckoning 5,A journey into the unknown reveals new challenges. 14,42
142,19,4,Episode 4: Endgame 2,A confrontation with the past changes everything. 13,93
143,19,5,Episode 5: Legacy 4,A race against time to prevent disaster. 11,43
144,19,6,Episode 6: Endgame 2,A race against time to prevent disaster. 12,60
145,19,7,Episode 7: Endgame 2,Betrayal and intrigue threaten to undo everything. 11,72
146,19,8,Episode 8: A New Beginning 1,A confrontation with the past changes everything. 14,118
147,19,9,Episode 9: The Hidden Truth 1,A sacrifice is made for the greater good. 11,70
148,20,1,Episode 1: Legacy 1,Betrayal and intrigue threaten to undo everything. 12,56
149,20,2,Episode 2: Crossroads 4,New alliances are formed as old ones are tested. 12,79
150,20,3,Episode 3: The Hidden Truth 2,An unexpected discovery leads to a startling revelation. 14,102
151,20,4,Episode 4: The Hidden Truth 3,The quest for truth takes a dangerous turn. 12,75
152,20,5,Episode 5: The Hidden Truth 3,Tensions rise as secrets begin to unravel. 14,119
153,20,6,Episode 6: Endgame 3,A journey into the unknown reveals new challenges. 15,54
154,20,7,Episode 7: A New Beginning 4,A race against time to prevent disaster. 13,108
155,21,1,Episode 1: A New Beginning 4,Tensions rise as secrets begin to unravel. 15,112
156,21,2,Episode 2: A New Beginning 6,A confrontation with the past changes everything. 15,82
157,21,3,Episode 3: Endgame 4,A race against time to prevent disaster. 14,73
158,21,4,Episode 4: The Hidden Truth 4,A race against time to prevent disaster. 15,59
159,21,5,Episode 5: Endgame 2,A confrontation with the past changes everything. 16,38
160,21,6,Episode 6: Crossroads 2,Mysteries deepen as the search for answers continues. 9,79
161,21,7,Episode 7: Legacy 4,"A hidden enemy emerges, threatening all they hold dear. 11",30
162,21,8,Episode 8: Crossroads 1,The quest for truth takes a dangerous turn. 13,48
163,22,1,Episode 1: Reckoning 3,New alliances are formed as old ones are tested. 13,59
164,22,2,Episode 2: A New Beginning 7,An unexpected discovery leads to a startling revelation. 15,71
165,22,3,Episode 3: A New Beginning 2,An unexpected discovery leads to a startling revelation. 16,40
166,22,4,Episode 4: The Hidden Truth 5,Mysteries deepen as the search for answers continues. 10,44
167,22,5,Episode 5: Reckoning 2,Mysteries deepen as the search for answers continues. 11,50
168,22,6,Episode 6: A New Beginning 5,Mysteries deepen as the search for answers continues. 12,33
169,22,7,Episode 7: Reckoning 2,The final battle brings a shocking conclusion. 8,62
170,22,8,Episode 8: Reckoning 2,A race against time to prevent disaster. 16,31
171,22,9,Episode 9: Endgame,A journey into the unknown reveals new challenges. 16,113
172,22,10,Episode 10: A New Beginning,The final battle brings a shocking conclusion. 9,52
173,23,1,Episode 1: The Hidden Truth 4,The final battle brings a shocking conclusion. 10,37
174,23,2,Episode 2: Reckoning 2,Mysteries deepen as the search for answers continues. 13,44
175,23,3,Episode 3: Legacy 2,Tensions rise as secrets begin to unravel. 16,74
176,23,4,Episode 4: The Hidden Truth 6,An unexpected discovery leads to a startling revelation. 17,46
177,23,5,Episode 5: The Hidden Truth 4,A sacrifice is made for the greater good. 12,72
178,23,6,Episode 6: Endgame 4,The final battle brings a shocking conclusion. 11,94
179,23,7,Episode 7: A New Beginning 5,An unexpected discovery leads to a startling revelation. 18,65
180,23,8,Episode 8: Legacy 2,Mysteries deepen as the search for answers continues. 14,70
181,23,9,Episode 9: Crossroads 2,The quest for truth takes a dangerous turn. 14,49
182,24,1,Episode 1: The Hidden Truth 5,Tensions rise as secrets begin to unravel. 17,75
183,24,2,Episode 2: Reckoning 3,A journey into the unknown reveals new challenges. 17,46
184,24,3,Episode 3: Endgame 5,The quest for truth takes a dangerous turn. 15,31
185,24,4,Episode 4: Reckoning 3,An unexpected discovery leads to a startling revelation. 19,80
186,24,5,Episode 5: Crossroads 3,"A hidden enemy emerges, threatening all they hold dear. 12",46
187,24,6,Episode 6: Crossroads 3,A sacrifice is made for the greater good. 13,61
188,24,7,Episode 7: Crossroads 2,Tensions rise as secrets begin to unravel. 18,87
189,24,8,Episode 8: Reckoning 3,Betrayal and intrigue threaten to undo everything. 13,94
190,25,1,Episode 1: A New Beginning 5,The final battle brings a shocking conclusion. 12,62
191,25,2,Episode 2: Reckoning 4,Betrayal and intrigue threaten to undo everything. 14,82
192,25,3,Episode 3: Crossroads 3,The quest for truth takes a dangerous turn. 16,88
193,25,4,Episode 4: Endgame 3,A journey into the unknown reveals new challenges. 18,53
194,25,5,Episode 5: Crossroads 4,An unexpected discovery leads to a startling revelation. 20,100
195,25,6,Episode 6: The Hidden Truth 1,The final battle brings a shocking conclusion. 13,71
196,26,1,Episode 1: The Hidden Truth 6,New alliances are formed as old ones are tested. 14,85
197,26,2,Episode 2: Endgame 3,An unexpected discovery leads to a startling revelation. 21,58
198,26,3,Episode 3: Reckoning 6,"A hidden enemy emerges, threatening all they hold dear. 13",117
199,26,4,Episode 4: Crossroads 4,A sacrifice is made for the greater good. 14,113
200,26,5,Episode 5: Reckoning 3,An unexpected discovery leads to a startling revelation. 22,42
201,26,6,Episode 6: Crossroads 4,The quest for truth takes a dangerous turn. 17,79
202,26,7,Episode 7: Legacy 5,Mysteries deepen as the search for answers continues. 15,39
203,27,1,Episode 1: Reckoning 4,A confrontation with the past changes everything. 17,60
204,27,2,Episode 2: A New Beginning 8,New alliances are formed as old ones are tested. 15,36
205,27,3,Episode 3: Reckoning 7,Betrayal and intrigue threaten to undo everything. 15,111
206,27,4,Episode 4: Endgame 4,New alliances are formed as old ones are tested. 16,40
207,27,5,Episode 5: A New Beginning 4,A race against time to prevent disaster. 17,34
208,27,6,Episode 6: The Hidden Truth 2,New alliances are formed as old ones are tested. 17,100
209,27,7,Episode 7: A New Beginning 6,A journey into the unknown reveals new challenges. 19,101
210,28,1,Episode 1: Legacy 2,New alliances are formed as old ones are tested. 18,98
211,28,2,Episode 2: A New Beginning 9,The final battle brings a shocking conclusion. 14,109
212,28,3,Episode 3: Endgame 6,A confrontation with the past changes everything. 18,85
213,28,4,Episode 4: Reckoning 4,Tensions rise as secrets begin to unravel. 19,116
214,28,5,Episode 5: The Hidden Truth 5,An unexpected discovery leads to a startling revelation. 23,88
215,28,6,Episode 6: Reckoning 5,A race against time to prevent disaster. 18,77
216,28,7,Episode 7: Endgame 3,The final battle brings a shocking conclusion. 15,81
217,29,1,Episode 1: The Hidden Truth 7,The final battle brings a shocking conclusion. 16,100
218,29,2,Episode 2: Reckoning 5,A sacrifice is made for the greater good. 15,101
219,29,3,Episode 3: The Hidden Truth 3,Mysteries deepen as the search for answers continues. 16,44
220,29,4,Episode 4: Legacy 4,The final battle brings a shocking conclusion. 17,31
221,29,5,Episode 5: Endgame 3,A race against time to prevent disaster. 19,106
222,30,1,Episode 1: Crossroads 5,A journey into the unknown reveals new challenges. 20,59
223,30,2,Episode 2: Endgame 4,Betrayal and intrigue threaten to undo everything. 16,83
224,30,3,Episode 3: Crossroads 4,A sacrifice is made for the greater good. 16,91
225,30,4,Episode 4: The Hidden Truth 7,A race against time to prevent disaster. 20,98
226,30,5,Episode 5: Reckoning 4,A confrontation with the past changes everything. 19,50
227,30,6,Episode 6: A New Beginning 6,New alliances are formed as old ones are tested. 19,96
228,30,7,Episode 7: A New Beginning 7,A confrontation with the past changes everything. 20,87
229,30,8,Episode 8: Legacy 3,A confrontation with the past changes everything. 21,51
230,31,1,Episode 1: Endgame 2,New alliances are formed as old ones are tested. 20,84
231,31,2,Episode 2: The Hidden Truth 2,The final battle brings a shocking conclusion. 18,93
232,31,3,Episode 3: Endgame 7,Betrayal and intrigue threaten to undo everything. 17,82
233,31,4,Episode 4: Endgame 5,An unexpected discovery leads to a startling revelation. 24,56
234,31,5,Episode 5: Reckoning 5,An unexpected discovery leads to a startling revelation. 25,82
235,31,6,Episode 6: Crossroads 5,A race against time to prevent disaster. 21,50
236,31,7,Episode 7: Crossroads 3,A journey into the unknown reveals new challenges. 21,46
237,31,8,Episode 8: The Hidden Truth 1,A confrontation with the past changes everything. 22,78
238,31,9,Episode 9: A New Beginning,"A hidden enemy emerges, threatening all they hold dear. 14",114
239,32,1,Episode 1: Endgame 3,An unexpected discovery leads to a startling revelation. 26,93
240,32,2,Episode 2: Crossroads 5,The quest for truth takes a dangerous turn. 18,56
241,32,3,Episode 3: Crossroads 5,A journey into the unknown reveals new challenges. 22,37
242,32,4,Episode 4: Legacy 5,The final battle brings a shocking conclusion. 19,72
243,32,5,Episode 5: Legacy 5,The quest for truth takes a dangerous turn. 19,36
244,32,6,Episode 6: Endgame 5,New alliances are formed as old ones are tested. 21,47
245,32,7,Episode 7: Endgame 4,Mysteries deepen as the search for answers continues. 17,57
246,32,8,Episode 8: The Hidden Truth 2,A sacrifice is made for the greater good. 17,97
247,32,9,Episode 9: Crossroads 3,An unexpected discovery leads to a startling revelation. 27,42
248,33,1,Episode 1: A New Beginning 6,Betrayal and intrigue threaten to undo everything. 18,81
249,33,2,Episode 2: Legacy 2,"A hidden enemy emerges, threatening all they hold dear. 15",59
250,33,3,Episode 3: Legacy 3,New alliances are formed as old ones are tested. 22,100
251,33,4,Episode 4: Reckoning 5,New alliances are formed as old ones are tested. 23,45
252,33,5,Episode 5: Crossroads 5,A sacrifice is made for the greater good. 18,65
253,33,6,Episode 6: Endgame 6,The quest for truth takes a dangerous turn. 20,76
254,33,7,Episode 7: A New Beginning 8,A journey into the unknown reveals new challenges. 23,79
255,33,8,Episode 8: The Hidden Truth 3,A confrontation with the past changes everything. 23,116
256,33,9,Episode 9: A New Beginning 1,A race against time to prevent disaster. 22,104
257,33,10,Episode 10: Legacy 1,Betrayal and intrigue threaten to undo everything. 19,91
258,34,1,Episode 1: Endgame 4,The final battle brings a shocking conclusion. 20,44
259,34,2,Episode 2: Legacy 3,A confrontation with the past changes everything. 24,52
260,34,3,Episode 3: Legacy 4,Mysteries deepen as the search for answers continues. 18,85
261,34,4,Episode 4: Endgame 6,An unexpected discovery leads to a startling revelation. 28,83
262,34,5,Episode 5: Reckoning 6,Mysteries deepen as the search for answers continues. 19,55
263,34,6,Episode 6: The Hidden Truth 3,A journey into the unknown reveals new challenges. 24,116
264,34,7,Episode 7: Reckoning 3,New alliances are formed as old ones are tested. 24,38
265,34,8,Episode 8: Endgame 1,"A hidden enemy emerges, threatening all they hold dear. 16",104
266,35,1,Episode 1: The Hidden Truth 8,Mysteries deepen as the search for answers continues. 20,96
267,35,2,Episode 2: The Hidden Truth 3,New alliances are formed as old ones are tested. 25,52
268,35,3,Episode 3: Endgame 8,A journey into the unknown reveals new challenges. 25,86
269,35,4,Episode 4: Legacy 6,A confrontation with the past changes everything. 25,62
270,35,5,Episode 5: Legacy 6,A sacrifice is made for the greater good. 19,83
271,35,6,Episode 6: Reckoning 6,New alliances are formed as old ones are tested. 26,67
272,35,7,Episode 7: Legacy 6,Betrayal and intrigue threaten to undo everything. 20,32
273,35,8,Episode 8: The Hidden Truth 4,The quest for truth takes a dangerous turn. 21,97
274,35,9,Episode 9: Crossroads 4,A sacrifice is made for the greater good. 20,60
275,36,1,Episode 1: The Hidden Truth 9,Betrayal and intrigue threaten to undo everything. 21,116
276,36,2,Episode 2: A New Beginning 10,"A hidden enemy emerges, threatening all they hold dear. 17",58
277,36,3,Episode 3: Legacy 5,An unexpected discovery leads to a startling revelation. 29,62
278,36,4,Episode 4: Reckoning 6,A sacrifice is made for the greater good. 21,106
279,36,5,Episode 5: A New Beginning 5,Betrayal and intrigue threaten to undo everything. 22,47
280,36,6,Episode 6: A New Beginning 7,A journey into the unknown reveals new challenges. 26,117
281,36,7,Episode 7: Endgame 5,Betrayal and intrigue threaten to undo everything. 23,65
282,36,8,Episode 8: Crossroads 2,A confrontation with the past changes everything. 26,45
283,36,9,Episode 9: A New Beginning 2,A confrontation with the past changes everything. 27,50
284,37,1,Episode 1: Reckoning 5,A confrontation with the past changes everything. 28,96
285,37,2,Episode 2: Reckoning 6,New alliances are formed as old ones are tested. 27,103
286,37,3,Episode 3: Crossroads 6,"A hidden enemy emerges, threatening all they hold dear. 18",35
287,37,4,Episode 4: Reckoning 7,New alliances are formed as old ones are tested. 28,107
288,37,5,Episode 5: Endgame 4,New alliances are formed as old ones are tested. 29,114
289,37,6,Episode 6: A New Beginning 8,The final battle brings a shocking conclusion. 21,103
290,37,7,Episode 7: Reckoning 4,An unexpected discovery leads to a startling revelation. 30,89
291,37,8,Episode 8: A New Beginning 2,A confrontation with the past changes everything. 29,116
292,37,9,Episode 9: The Hidden Truth 2,Mysteries deepen as the search for answers continues. 21,41
293,37,10,Episode 10: A New Beginning 1,A sacrifice is made for the greater good. 22,47
294,38,1,Episode 1: A New Beginning 7,The quest for truth takes a dangerous turn. 22,46
295,38,2,Episode 2: The Hidden Truth 4,A journey into the unknown reveals new challenges. 27,30
296,38,3,Episode 3: Reckoning 8,The quest for truth takes a dangerous turn. 23,97
297,38,4,Episode 4: The Hidden Truth 8,A confrontation with the past changes everything. 30,65
298,38,5,Episode 5: Endgame 5,An unexpected discovery leads to a startling revelation. 31,76
299,39,1,Episode 1: A New Beginning 8,"A hidden enemy emerges, threatening all they hold dear. 19",102
300,39,2,Episode 2: Endgame 5,A confrontation with the past changes everything. 31,47
301,39,3,Episode 3: A New Beginning 3,"A hidden enemy emerges, threatening all they hold dear. 20",85
302,39,4,Episode 4: The Hidden Truth 9,The quest for truth takes a dangerous turn. 24,115
303,39,5,Episode 5: Endgame 6,Betrayal and intrigue threaten to undo everything. 24,53
304,40,1,Episode 1: A New Beginning 9,Mysteries deepen as the search for answers continues. 22,48
305,40,2,Episode 2: Reckoning 7,Betrayal and intrigue threaten to undo everything. 25,95
306,40,3,Episode 3: Crossroads 7,Tensions rise as secrets begin to unravel. 20,53
307,40,4,Episode 4: Reckoning 8,A sacrifice is made for the greater good. 23,50
308,40,5,Episode 5: Crossroads 6,A sacrifice is made for the greater good. 24,52
309,40,6,Episode 6: Reckoning 7,An unexpected discovery leads to a startling revelation. 32,86
310,40,7,Episode 7: Endgame 6,Tensions rise as secrets begin to unravel. 21,104
311,41,1,Episode 1: Crossroads 6,"A hidden enemy emerges, threatening all they hold dear. 21",117
312,41,2,Episode 2: The Hidden Truth 5,An unexpected discovery leads to a startling revelation. 33,108
313,41,3,Episode 3: Legacy 6,Betrayal and intrigue threaten to undo everything. 26,74
314,41,4,Episode 4: Legacy 7,Mysteries deepen as the search for answers continues. 23,52
315,41,5,Episode 5: Endgame 7,"A hidden enemy emerges, threatening all they hold dear. 22",88
316,41,6,Episode 6: Legacy 2,New alliances are formed as old ones are tested. 30,45
317,41,7,Episode 7: Endgame 7,A confrontation with the past changes everything. 32,85
318,41,8,Episode 8: Legacy 4,The final battle brings a shocking conclusion. 22,58
319,41,9,Episode 9: Crossroads 5,A race against time to prevent disaster. 23,74
320,42,1,Episode 1: Endgame 5,Betrayal and intrigue threaten to undo everything. 27,103
321,42,2,Episode 2: Reckoning 8,The quest for truth takes a dangerous turn. 25,82
322,42,3,Episode 3: Endgame 9,Betrayal and intrigue threaten to undo everything. 28,32
323,42,4,Episode 4: Legacy 8,The quest for truth takes a dangerous turn. 26,95
324,42,5,Episode 5: Crossroads 7,Betrayal and intrigue threaten to undo everything. 29,112
325,42,6,Episode 6: Crossroads 6,Mysteries deepen as the search for answers continues. 24,59
326,43,1,Episode 1: Legacy 3,Betrayal and intrigue threaten to undo everything. 30,68
327,43,2,Episode 2: Crossroads 6,New alliances are formed as old ones are tested. 31,115
328,43,3,Episode 3: Legacy 7,New alliances are formed as old ones are tested. 32,47
329,43,4,Episode 4: Endgame 7,The final battle brings a shocking conclusion. 23,33
330,43,5,Episode 5: Crossroads 8,The quest for truth takes a dangerous turn. 27,106
331,43,6,Episode 6: The Hidden Truth 4,Tensions rise as secrets begin to unravel. 22,66
332,43,7,Episode 7: Reckoning 5,The quest for truth takes a dangerous turn. 28,81
333,43,8,Episode 8: The Hidden Truth 5,A confrontation with the past changes everything. 33,72
334,43,9,Episode 9: The Hidden Truth 3,An unexpected discovery leads to a startling revelation. 34,59
335,43,10,Episode 10: Crossroads 1,New alliances are formed as old ones are tested. 33,74
336,44,1,Episode 1: Legacy 4,New alliances are formed as old ones are tested. 34,32
337,44,2,Episode 2: The Hidden Truth 6,Mysteries deepen as the search for answers continues. 25,68
338,44,3,Episode 3: Reckoning 9,Betrayal and intrigue threaten to undo everything. 31,60
339,44,4,Episode 4: Endgame 8,An unexpected discovery leads to a startling revelation. 35,66
340,44,5,Episode 5: Legacy 7,Tensions rise as secrets begin to unravel. 23,80
